"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","113","Создание курьера без указания поля пароль в теле запроса","tests","Fri Apr 18 17:29:57 MSK 2025","passed","Fri Apr 18 17:29:57 MSK 2025","TestCourier","test_create_courier","",""
"","138","Логин курьера с неправильным паролем","tests","Fri Apr 18 17:30:00 MSK 2025","passed","Fri Apr 18 17:30:01 MSK 2025","TestCourierLogin","test_login_courier","",""
"","132","Логин курьера с валидными данными","tests","Fri Apr 18 17:29:59 MSK 2025","passed","Fri Apr 18 17:29:59 MSK 2025","TestCourierLogin","test_login_courier","",""
"","124","Создание заказа","tests","Fri Apr 18 17:29:58 MSK 2025","passed","Fri Apr 18 17:29:58 MSK 2025","TestCreateOrder","test_create_order","",""
"","119","Создание заказа","tests","Fri Apr 18 17:29:58 MSK 2025","passed","Fri Apr 18 17:29:58 MSK 2025","TestCreateOrder","test_create_order","",""
"","1374","Получение списка всех заказов","tests","Fri Apr 18 17:29:58 MSK 2025","passed","Fri Apr 18 17:29:59 MSK 2025","TestGetOrders","test_get_orders","",""
"","100","Создание заказа","tests","Fri Apr 18 17:29:57 MSK 2025","passed","Fri Apr 18 17:29:57 MSK 2025","TestCreateOrder","test_create_order","",""
"","91","Логин курьера без указания поля пароль в запросе","tests","Fri Apr 18 17:30:00 MSK 2025","passed","Fri Apr 18 17:30:00 MSK 2025","TestCourierLogin","test_login_courier","",""
"","158","Создание заказа","tests","Fri Apr 18 17:29:57 MSK 2025","passed","Fri Apr 18 17:29:57 MSK 2025","TestCreateOrder","test_create_order","",""
"","113","Создание курьера с уже существующими данными","tests","Fri Apr 18 17:29:57 MSK 2025","passed","Fri Apr 18 17:29:57 MSK 2025","TestCourier","test_create_courier","",""
"","0","Создание курьера с валидными данными","tests","Fri Apr 18 17:29:56 MSK 2025","passed","Fri Apr 18 17:29:56 MSK 2025","TestCourier","test_create_courier","",""
